from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
ci-unix-cluster-resource,ci-unix-cluster,Depends on,Defines resources for (parent),UNIX Cluster Resource,UNIX Cluster
ci-ied,ci-rtu,Connects to,Connected by (child),IED,RTU
ci-aws-organizational-unit,ci-cloud-account-group,Contains,Contained by (child),AWS Organizational Unit,Cloud Account Group
ci-vmware-vcenter-network,ci-vmware-virtual-machine-instance,Connects to,Connects (child),VMware vCenter Network,VMware Virtual Machine Instance
ci-vmware-vcenter-folder,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware vCenter Folder,VMware vCenter Datacenter
ci-ip-router,ci-switch-partition,Contains,Contains (parent),IP Router,Switch Partition
ci-cisco-ucs-chassis,ci-cisco-ucs-equipment,Contains,Contained by (child),Cisco UCS Chassis,Cisco UCS Equipment
ci-application-cluster,ci-endpoint,Contains,Cluster (child),Application Cluster,Endpoint
ci-api-product-bundle,ci-api-consumer-subscription,Uses,Used by (parent),API Product Bundle,API Consumer Subscription
ci-windows-cluster-resource,ci-windows-cluster-node,Depends on,Defines resources for (parent),Windows Cluster Resource,Windows Cluster Node
ci-esx-resource-pool,ci-vmware-vcenter-cluster,Depends on,Defines resources for (parent),ESX Resource Pool,VMware vCenter Cluster
ci-cloud-network,ci-dns-zone,Connects to,Connects (child),Cloud Network,DNS Zone
ci-storage-volume,ci-alibaba-datacenter,Runs on,Hosted on (parent),Storage Volume,Alibaba Datacenter
ci-fortinet-firewall-device,ci-router-interface,Uses,Uses (parent),Fortinet Firewall Device,Router Interface
ci-openstack-datacenter,ci-openstack-endpoint,Contains,Hosts (child),Openstack Datacenter,OpenStack Endpoint
ci-mssql-availability-group-replica,ci-mssql-availability-group,Contains,Cluster of (parent),MSSQL Availability Group Replica,MSSQL Availability Group
ci-esx-server,ci-virtual-machine-instance,Runs on,Has registered (child),ESX Server,Virtual Machine Instance
ci-virtual-machine-instance,ci-esx-server,Runs on,Registered on (parent),Virtual Machine Instance,ESX Server
ci-vmware-vcenter-instance,ci-esx-server,Depends on,Manages (child),VMware vCenter Instance,ESX Server
ci-esx-server,ci-vmware-vcenter-instance,Depends on,Managed by (parent),ESX Server,VMware vCenter Instance
ci-switchport,ci-ip-router,Contains,Contained by (child),Switchport,IP Router
ci-load-balancer-service,ci-nsx-load-balancer,Runs on,Runs on (parent),Load Balancer Service,NSX Load Balancer
ci-kafka-connect,ci-kafka-cluster,Connects to,Connected by (child),Kafka Connect,Kafka Cluster
ci-business-process-activity,ci-business-process,Uses,Used by (child),Business Process Activity,Business Process
ci-vmware-vcenter-datacenter,ci-vmware-virtual-machine-instance,Contains,Contains (parent),VMware vCenter Datacenter,VMware Virtual Machine Instance
ci-storage-export,ci-storage-device,Uses,Exports to (parent),Storage Export,Storage Device
ci-virtual-machine-instance,ci-aws-datacenter,Runs on,Hosted on (parent),Virtual Machine Instance,AWS Datacenter
ci-storage-volume,ci-iscsi-endpoint,Connects to,Implement End Point From (child),Storage Volume,ISCSI Endpoint
ci-ip-switch,ci-solaris-server,Connects to,IP Connection (child),IP Switch,Solaris Server
ci-hardware-type,ci-virtual-machine-instance,Uses,Provisioned (child),Hardware Type,Virtual Machine Instance
ci-network-adapter,ci-linux-server,Depends on,Owned by (child),Network Adapter,Linux Server
ci-ip-router,ci-switchport,Contains,Contains (parent),IP Router,Switchport
ci-switch-forwarding-rule,ci-switchport,Routes to,Distributed by (parent),Switch Forwarding Rule,Switchport
ci-cisco-ucs-equipment,ci-cisco-ucs-chassis,Contains,Contains (parent),Cisco UCS Equipment,Cisco UCS Chassis
ci-storage-server,ci-storage-volume,Uses,Uses (parent),Storage Server,Storage Volume
ci-hyper-v-virtual-machine-instance,ci-hyper-v-storage,Contains,Contains (parent),Hyper-V Virtual Machine Instance,Hyper-V Storage
ci-firewall-security-policy,ci-firewall-device,Contains,Contained by (child),Firewall Security Policy,Firewall Device
ci-radware-load-balancer,ci-ip-address,Depends on,Owns (parent),Radware Load Balancer,IP Address
ci-avi-controller,ci-avi-service-engine,Contains,Contains (parent),AVI Controller,AVI Service Engine
ci-cloud-subnet,ci-nat-gateway,Uses,Uses (parent),Cloud Subnet,NAT Gateway
ci-cisco-ucs-equipment,ci-ip-switch,Contains,Contains (parent),Cisco UCS Equipment,IP Switch
ci-opc-client,ci-scada-server,Connects to,Connected by (child),OPC Client,SCADA Server
ci-aws-cloud-ecs-cluster,ci-docker-container,Uses,Uses (child),AWS Cloud ECS Cluster,Docker Container
ci-storage-server,ci-storage-device,Contains,Contains (parent),Storage Server,Storage Device
ci-alteon,ci-load-balancer-service,Runs on,Runs (child),Alteon,Load Balancer Service
ci-windows-server,ci-iscsi-disk,Contains,Contains (parent),Windows Server,iSCSI Disk
ci-vmware-vcenter-folder,ci-vmware-vcenter-datastore,Contains,Contains (parent),VMware vCenter Folder,VMware vCenter Datastore
ci-computer,ci-next-hop-routing-rule,Uses,Uses (parent),Computer,Next Hop Routing Rule
ci-fibre-channel-disk,ci-linux-server,Contains,Contained by (child),Fibre Channel Disk,Linux Server
ci-business-application,ci-business-process-activity,Uses,Used by (child),Business Application,Business Process Activity
ci-load-balancer-service,ci-a10-load-balancer,Runs on,Runs on (parent),Load Balancer Service,A10 Load Balancer
ci-vmware-vcenter-cluster,ci-esx-resource-pool,Depends on,Gets resources from (child),VMware vCenter Cluster,ESX Resource Pool
ci-cloud-network,ci-internet-gateway-endpoint,Connects to,Use End Point To (parent),Cloud Network,Internet Gateway Endpoint
ci-memory-module,ci-linux-server,Contains,Contained by (child),Memory Module,Linux Server
ci-vmware-vcenter-cluster,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware vCenter Cluster,VMware vCenter Datacenter
ci-esx-resource-pool,ci-esx-server,Depends on,Defines resources for (parent),ESX Resource Pool,ESX Server
ci-esx-server,ci-esx-resource-pool,Depends on,Gets resources from (child),ESX Server,ESX Resource Pool
ci-availability-zone,ci-cloud-network,Contains,Contains (parent),Availability Zone,Cloud Network
ci-endpoint,ci-application-cluster,Contains,Cluster of (parent),Endpoint,Application Cluster
ci-network-adapter,ci-solaris-server,Depends on,Owned by (child),Network Adapter,Solaris Server
ci-ot-system-service,ci-technology-management-service,Contains,Contains (parent),OT System Service,Technology Management Service
ci-web-application,ci-jboss,Runs on,Runs (child),Web Application,JBoss
ci-alibaba-datacenter,ci-storage-volume,Contains,Hosts (child),Alibaba Datacenter,Storage Volume
ci-juniper-firewall-cluster,ci-juniper-firewall-device,Runs on,Hosted on (parent),Juniper Firewall Cluster,Juniper Firewall Device
ci-sdwan-edge,ci-sdwan-port,Contains,Contains (parent),SDWAN Edge,SDWAN Port
ci-ibm-lpar-instance,ci-aix-server,Depends on,Owns (parent),IBM LPAR Instance,AIX Server
ci-instance-scale-set,ci-load-balancer-pool,Uses,Consumes (parent),Instance Scale Set,Load Balancer Pool
ci-f5-big-ip,ci-load-balancer-pool,Depends on,Owns (parent),F5 BIG-IP,Load Balancer Pool
ci-video-management-system,ci-edge-application,Uses,Uses (child),Video Management System,Edge Application
ci-hyper-v-server,ci-memory-module,Contains,Contains (parent),Hyper-V Server,Memory Module
ci-computer,ci-hyper-v-server,Runs on,Virtualized by (parent),Computer,Hyper-V Server
ci-router-interface,ci-a10-load-balancer,Uses,Used by (child),Router Interface,A10 Load Balancer
ci-cloud-database,ci-hardware-type,Uses,Provisioned From (parent),Cloud DataBase,Hardware Type
ci-ip-address,ci-ip-switch,Depends on,Owned by (child),IP Address,IP Switch
ci-dns-name,ci-cloud-gateway,Uses,Used by (child),DNS Name,Cloud Gateway
ci-solaris-server,ci-iscsi-disk,Contains,Contains (parent),Solaris Server,iSCSI Disk
ci-esx-server,ci-vmware-virtual-machine-instance,Runs on,Has registered (child),ESX Server,VMware Virtual Machine Instance
ci-cluster,ci-cluster-node,Contains,Cluster (child),Cluster,Cluster Node
ci-storage-server,ci-fibre-channel-export,Contains,Hosts (child),Storage Server,Fibre Channel Export
ci-network-acl,ci-aws-datacenter,Runs on,Hosted on (parent),Network ACL,AWS Datacenter
ci-google-datacenter,ci-cloud-subnet,Contains,Contains (parent),Google Datacenter,Cloud Subnet
ci-database-catalog,ci-information-object,Uses,Used by (child),Database Catalog,Information Object
ci-esx-resource-pool,ci-vmware-virtual-machine-instance,Contains,Members (parent),ESX Resource Pool,VMware Virtual Machine Instance
ci-vmware-vcenter-datastore,ci-esx-server,Uses,Used by (parent),VMware vCenter Datastore,ESX Server
ci-vmware-virtual-machine-instance,ci-esx-server,Runs on,Registered on (parent),VMware Virtual Machine Instance,ESX Server
ci-aws-cloud-ecs-cluster,ci-aws-datacenter,Runs on,Hosted on (parent),AWS Cloud ECS Cluster,AWS Datacenter
ci-cloudfoundry-domain,ci-cloudfoundry-route,Uses,Used by (child),CloudFoundry Domain,CloudFoundry Route
ci-plc,ci-historian,Connects to,Connected by (child),PLC,Historian
ci-solaris-server,ci-fibre-channel-disk,Contains,Contains (parent),Solaris Server,Fibre Channel Disk
ci-virtual-private-gateway,ci-virtual-network-gateway-connection,Connects to,Connected by (parent),Virtual Private Gateway,Virtual Network Gateway Connection
ci-nas-file-system,ci-windows-server,Contains,Contained by (child),NAS File System,Windows Server
ci-cloud-service-account,ci-kubernetes-replicaset,Contains,Hosts (child),Cloud Service Account,Kubernetes ReplicaSet
ci-rtu,ci-opc-server,Connects to,Connected by (child),RTU,OPC Server
ci-next-hop-routing-rule,ci-ip-switch,Uses,Used by (child),Next Hop Routing Rule,IP Switch
ci-vmware-virtual-machine-instance,ci-linux-server,Runs on,Instantiated by (child),VMware Virtual Machine Instance,Linux Server
ci-cisco-ucs-rack-mount-unit,ci-cisco-ucs-equipment,Contains,Contained by (child),Cisco UCS Rack Mount Unit,Cisco UCS Equipment
ci-alteon,ci-ip-address,Depends on,Owns (parent),Alteon,IP Address
ci-kubernetes-pod,ci-linux-server,Contains,Contained by (child),Kubernetes Pod,Linux Server
ci-memory-module,ci-hyper-v-server,Contains,Contained by (child),Memory Module,Hyper-V Server
ci-azure-datacenter,ci-cloud-image,Contains,Hosts (child),Azure Datacenter,Cloud Image
ci-google-datacenter,ci-cloud-mgmt-network-interface,Contains,Hosts (child),Google Datacenter,Cloud Mgmt Network Interface
ci-cloud-hardware-type,ci-google-datacenter,Runs on,Hosted on (parent),Cloud Hardware Type,Google Datacenter
ci-aws-datacenter,ci-virtual-private-gateway,Contains,Hosts (child),AWS Datacenter,Virtual Private Gateway
ci-citrix-netscaler,ci-ip-address,Depends on,Owns (parent),Citrix Netscaler,IP Address
ci-storage-server,ci-file-system,Contains,Contains (parent),Storage Server,File System
ci-scada-server,ci-scada-client,Connects to,Connected by (child),SCADA Server,SCADA Client
ci-vmware-vcenter-datastore,ci-vmware-virtual-machine-template,Uses,Provides storage for (parent),VMware vCenter Datastore,VMware Virtual Machine Template
ci-cluster-node,ci-cluster,Contains,Cluster of (parent),Cluster Node,Cluster
ci-cluster-virtual-ip,ci-windows-cluster-node,Depends on,Applicative Flow To (parent),Cluster Virtual IP,Windows Cluster Node
ci-citrix-netscaler,ci-ip-switch,Connects to,IP Connection (parent),Citrix Netscaler,IP Switch
ci-vmware-vcenter-folder,ci-vmware-virtual-machine-template,Contains,Contains (parent),VMware vCenter Folder,VMware Virtual Machine Template
ci-ibm-datacenter,ci-storage-volume,Contains,Hosts (child),IBM Datacenter,Storage Volume
ci-sap-ascs-application,ci-sap-sid,Uses,Uses (parent),SAP ASCS Application,SAP SID
ci-computer,ci-router-interface,Uses,Uses (parent),Computer,Router Interface
ci-kubernetes-namespace,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Namespace,Cloud Service Account
ci-aix-server,ci-ip-address,Depends on,Owns (parent),AIX Server,IP Address
ci-storage-node-element,ci-storage-server,Contains,Allocated from (child),Storage Node Element,Storage Server
ci-mssql-availability-group-replica,ci-msft-sql-instance,Contains,Member of (child),MSSQL Availability Group Replica,MSFT SQL Instance
ci-unix-cluster-node,ci-linux-server,Runs on,Hosted on (parent),UNIX Cluster Node,Linux Server
ci-storage-pool,ci-solaris-server,Contains,Contained by (child),Storage Pool,Solaris Server
ci-server,ci-application,Runs on,Runs (child),Server,Application
ci-application,ci-windows-server,Runs on,Runs on (parent),Application,Windows Server
ci-file-system,ci-fibre-channel-disk,Uses,Provided by (child),File System,Fibre Channel Disk
ci-api-frontend,ci-api-backend,Connects to,Use End Point To (parent),API Frontend,API Backend
ci-storage-hba,ci-fibre-channel-port,Depends on,Controller for (parent),Storage HBA,Fibre Channel Port
ci-ot-control-module,ci-industrial-robot,Depends on,Owns (parent),OT Control Module,Industrial Robot
ci-industrial-robot,ci-ot-control-module,Depends on,Owned by (child),Industrial Robot,OT Control Module
ci-virtual-machine-instance,ci-aws-cloud-ecs-task,Runs on,Runs (child),Virtual Machine Instance,AWS Cloud ECS Task
ci-hyper-v-server,ci-file-system,Contains,Contains (parent),Hyper-V Server,File System
ci-unix-cluster,ci-linux-server,Runs on,Hosted on (parent),UNIX Cluster,Linux Server
ci-hyper-v-server,ci-hyper-v-resource-pool,Depends on,Gets resources from (child),Hyper-V Server,Hyper-V Resource Pool
ci-virtual-machine-instance,ci-subnet-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,Subnet Endpoint
ci-virtual-machine-instance,ci-google-datacenter,Runs on,Hosted on (parent),Virtual Machine Instance,Google Datacenter
ci-network-adapter,ci-storage-server,Uses,Used by (child),Network Adapter,Storage Server
ci-hpux-server,ci-router-interface,Uses,Uses (parent),HPUX Server,Router Interface
ci-database-catalog,ci-service,Uses,Used by (child),Database Catalog,Service
ci-fibre-channel-disk,ci-computer,Contains,Contained by (child),Fibre Channel Disk,Computer
ci-windows-server,ci-ip-switch,Connects to,IP Connection (parent),Windows Server,IP Switch
ci-ibm-websphere-as,ci-websphere-cell,Contains,Contains (parent),IBM WebSphere AS,Websphere Cell
ci-cloud-disk-type,ci-google-datacenter,Runs on,Hosted on (parent),Cloud Disk Type,Google Datacenter
ci-cloud-load-balancer-health-service,ci-load-balancer-pool,Uses,Used by (parent),Cloud Load Balancer Health Service,Load Balancer Pool
ci-nas-file-system,ci-solaris-server,Contains,Contained by (child),NAS File System,Solaris Server
ci-image,ci-openstack-datacenter,Runs on,Hosted on (parent),Image,Openstack Datacenter
ci-openstack-datacenter,ci-cloud-network,Contains,Hosts (child),Openstack Datacenter,Cloud Network
ci-web-acl,ci-cloud-load-balancer,Depends on,Protects (child),Web ACL,Cloud Load Balancer
ci-computer,ci-exit-interface-routing-rule,Uses,Uses (parent),Computer,Exit Interface Routing Rule
ci-storage-file-share,ci-disk,Contains,Allocated from (child),Storage File Share,Disk
ci-lvm-pool,ci-lvm-pool-member,Contains,Members (parent),LVM Pool,LVM Pool Member
ci-linux-server,ci-router-interface,Uses,Uses (parent),Linux Server,Router Interface
ci-industrial-actuator,ci-ot-control-module,Depends on,Owned by (child),Industrial Actuator,OT Control Module
ci-firewall-manager,ci-firewall-device,Depends on,Managed by (parent),Firewall Manager,Firewall Device
ci-aws-datacenter,ci-aws-cloud-ecs-cluster,Contains,Hosts (child),AWS Datacenter,AWS Cloud ECS Cluster
ci-aws-cloud-ecs-taskdefinition,ci-aws-datacenter,Runs on,Hosted on (parent),AWS Cloud ECS TaskDefinition,AWS Datacenter
ci-hyper-v-server,ci-hyper-v-cluster,Contains,Member of (child),Hyper-V Server,Hyper-V Cluster
ci-acl-endpoint,ci-cloud-subnet,Connects to,Use End Point From (child),ACL Endpoint,Cloud Subnet
ci-cloud-hardware-type,ci-database,Uses,Provisioned (child),Cloud Hardware Type,Database
ci-linux-server,ci-unix-cluster,Contains,Hosts (child),Linux Server,UNIX Cluster
ci-router-interface,ci-solaris-server,Uses,Used by (child),Router Interface,Solaris Server
ci-vmware-virtual-machine-template,ci-vmware-vcenter-datastore,Depends on,Stored on (child),VMware Virtual Machine Template,VMware vCenter Datastore
ci-cloud-load-balancer,ci-cloud-subnet,Contains,Contained by (child),Cloud Load Balancer,Cloud Subnet
ci-radware-load-balancer,ci-load-balancer-service,Runs on,Runs (child),Radware Load Balancer,Load Balancer Service
ci-nas-file-system,ci-iscsi-disk,Uses,Provides (parent),NAS File System,iSCSI Disk
ci-hyper-v-virtual-machine-instance,ci-hyper-v-virtual-network,Connects to,Connected by (parent),Hyper-V Virtual Machine Instance,Hyper-V Virtual Network
ci-aix-server,ci-ip-switch,Connects to,IP Connection (parent),AIX Server,IP Switch
ci-nginx-web-server,ci-nginx-load-balancer,Uses,Provides (parent),Nginx Web Server,Nginx Load Balancer
ci-file-system,ci-storage-device,Uses,Provides (parent),File System,Storage Device
ci-apache-web-server,ci-tomcat,Depends on,Depends on (parent),Apache Web Server,Tomcat
ci-alteon,ci-ip-switch,Connects to,IP Connection (parent),Alteon,IP Switch
ci-virtual-machine-instance,ci-ibm-datacenter,Runs on,Hosted on (parent),Virtual Machine Instance,IBM Datacenter
ci-aws-cloud-ecs-taskdefinition,ci-aws-cloud-ecs-task,Uses,Used by (child),AWS Cloud ECS TaskDefinition,AWS Cloud ECS Task
ci-windows-cluster,ci-cluster-virtual-ip,Runs on,Virtualized by (parent),Windows Cluster,Cluster Virtual IP
ci-zones,ci-computer-room,Contains,Houses (child),Zones,Computer Room
ci-ibm-datacenter,ci-cloud-network,Contains,Hosts (child),IBM Datacenter,Cloud Network
ci-ot-system-service,ci-cmdb-ci-ot-isa-entity,Depends on,Manages (child),OT System Service,cmdb_ci_ot_isa_entity
ci-cloud-load-balancer,ci-web-acl,Depends on,Protected by (parent),Cloud Load Balancer,Web ACL
ci-docker-image,ci-docker-container,Runs on,Instantiates (parent),Docker Image,Docker Container
ci-storage-disk,ci-datastore-disk,Uses,Exports to (parent),Storage Disk,Datastore Disk
ci-cloud-service-account,ci-kubernetes-cluster-role-binding,Contains,Hosts (child),Cloud Service Account,Kubernetes Cluster Role Binding
ci-storage-server,ci-fibre-channel-port,Depends on,Owns (parent),Storage Server,Fibre Channel Port
ci-rtu,ci-historian,Connects to,Connected by (child),RTU,Historian
ci-fortinet-firewall-cluster,ci-fortinet-firewall-device,Runs on,Hosted on (parent),Fortinet Firewall Cluster,Fortinet Firewall Device
ci-oracle-golden-gate,ci-oracle-golden-gate-replicat-process,Depends on,Managed by (parent),Oracle Golden Gate,Oracle Golden Gate Replicat Process
ci-kafka-consumer-group,ci-kafka-consumer,Contains,Members (parent),Kafka Consumer Group,Kafka Consumer
ci-a10-load-balancer,ci-load-balancer-interface,Depends on,Owns (parent),A10 Load Balancer,Load Balancer Interface
ci-openstack-domain,ci-cloud-service-account,Depends on,Owns (parent),OpenStack Domain,Cloud Service Account
ci-ot-control-system,ci-protocol-converter,Connects to,Connects to (parent),OT Control System,Protocol Converter
ci-ip-router,ci-exit-interface-routing-rule,Uses,Uses (parent),IP Router,Exit Interface Routing Rule
ci-ip-address,ci-alteon,Depends on,Owned by (child),IP Address,Alteon
ci-kubernetes-deployment,ci-tracked-configuration-file,Contains,Contains (parent),Kubernetes Deployment,Tracked Configuration file
ci-lvm-pool-member,ci-lvm-pool,Contains,Member of (child),LVM Pool Member,LVM Pool
ci-hardware-type,ci-instance-template,Uses,Used by (child),Hardware Type,Instance template
ci-instance-template,ci-image,Uses,Uses (parent),Instance template,Image
ci-kubernetes-node,ci-linux-server,Runs on,Hosted on (parent),Kubernetes Node,Linux Server
ci-load-balancer-service,ci-application,Routes to,Distributes (child),Load Balancer Service,Application
ci-kafka-cluster,ci-confluent-environment,Contains,Contained by (child),Kafka Cluster,Confluent Environment
ci-ovirt-virtual-machine-instance,ci-vnic-endpoint,Connects to,Use End Point To (parent),oVirt Virtual Machine Instance,VNIC Endpoint
ci-kubernetes-namespace,ci-kubernetes-deployment,Contains,Contains (parent),Kubernetes Namespace,Kubernetes Deployment
ci-business-application,ci-service,Uses,Consumes (parent),Business Application,Service
ci-api-backend,ci-api-frontend,Connects to,Use End Point From (child),API Backend,API Frontend
ci-router-interface,ci-palo-alto-firewall-device,Uses,Used by (child),Router Interface,Palo Alto Firewall Device
ci-load-balancer-service,ci-cloud-load-balancer-health-service,Uses,Uses (child),Load Balancer Service,Cloud Load Balancer Health Service
ci-availability-zone,ci-aws-datacenter,Contains,Contained by (child),Availability Zone,AWS Datacenter
ci-file-system,ci-storage-server,Contains,Contained by (child),File System,Storage Server
ci-computer,ci-disk,Contains,Contains (parent),Computer,Disk
ci-jboss,ci-web-application,Runs on,Runs on (parent),JBoss,Web Application
ci-information-object,ci-configuration-file,Depends on,Depends on (parent),Information Object,Configuration file
ci-hyper-v-server,ci-storage-device,Contains,Contains (parent),Hyper-V Server,Storage Device
ci-storage-node-element,ci-ip-address,Depends on,Owns (parent),Storage Node Element,IP Address
ci-load-balancer-interface,ci-a10-load-balancer,Depends on,Owned by (child),Load Balancer Interface,A10 Load Balancer
ci-resource-group,ci-virtual-network-gateway-connection,Contains,Contains (parent),Resource Group,Virtual Network Gateway Connection
ci-virtual-machine-instance,ci-aws-cloud-ecs-cluster,Uses,Used by (parent),Virtual Machine Instance,AWS Cloud ECS Cluster
ci-vnic-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),VNIC Endpoint,Virtual Machine Instance
ci-tracked-configuration-file,ci-kubernetes-deployment,Contains,Contained by (child),Tracked Configuration file,Kubernetes Deployment
ci-ip-address,ci-cohesity-node,Depends on,Owned by (child),IP Address,Cohesity Node
ci-storage-file-share,ci-nas-file-system,Contains,Allocated to (child),Storage File Share,NAS File System
ci-solaris-server,ci-router-interface,Uses,Uses (parent),Solaris Server,Router Interface
ci-graphics-processing-unit,ci-computer,Uses,Used by (parent),Graphics Processing Unit,Computer
ci-juniper-firewall-device,ci-ip-address,Depends on,Owns (parent),Juniper Firewall Device,IP Address
ci-zoo-keeper-cluster-node,ci-zoo-keeper-cluster,Contains,Cluster (child),Zoo Keeper Cluster Node,Zoo Keeper Cluster
ci-chassis,ci-cohesity-node,Contains,Hosts (child),Chassis,Cohesity Node
ci-fibre-channel-port,ci-storage-hba,Depends on,Controlled by (child),Fibre Channel Port,Storage HBA
ci-hpux-server,ci-patch,Depends on,Owns (parent),HPUX Server,Patch
ci-cisco-firewall-device,ci-network-adapter,Depends on,Owns (parent),Cisco Firewall Device,Network Adapter
ci-disk-partition,ci-hyper-v-server,Contains,Contained by (child),Disk Partition,Hyper-V Server
ci-ovirt-ldc,ci-ovirt-virtual-machine-instance,Contains,Hosts (child),oVirt LDC,oVirt Virtual Machine Instance
ci-docker-image,ci-kubernetes-pod,Contains,Contained by (child),Docker Image,Kubernetes Pod
ci-fibre-channel-disk,ci-hyper-v-server,Contains,Contained by (child),Fibre Channel Disk,Hyper-V Server
ci-hyper-v-server,ci-hyper-v-virtual-network-component,Uses,Provided by (child),Hyper-V Server,Hyper-V Virtual Network Component
ci-hyper-v-server,ci-next-hop-routing-rule,Uses,Uses (parent),Hyper-V Server,Next Hop Routing Rule
ci-confluent-environment,ci-kafka-cluster,Contains,Contains (parent),Confluent Environment,Kafka Cluster
ci-network-adapter,ci-hpux-server,Depends on,Owned by (child),Network Adapter,HPUX Server
ci-palo-alto-firewall-device,ci-ip-address,Depends on,Owns (parent),Palo Alto Firewall Device,IP Address
ci-ip-switch,ci-cisco-ucs-equipment,Contains,Contained by (child),IP Switch,Cisco UCS Equipment
ci-linux-server,ci-storage-hba,Depends on,Owns (parent),Linux Server,Storage HBA
ci-citrix-netscaler,ci-load-balancer-pool,Depends on,Owns (parent),Citrix Netscaler,Load Balancer Pool
ci-cisco-ucs-rack-mount-unit,ci-server,Runs on,Runs on (parent),Cisco UCS Rack Mount Unit,Server
ci-nutanix-virtual-machine-instance,ci-nutanix-host,Runs on,Registered on (parent),Nutanix Virtual Machine Instance,Nutanix Host
ci-file-system,ci-hyper-v-server,Contains,Contained by (child),File System,Hyper-V Server
ci-kubernetes-cluster-role-binding,ci-logical-datacenter,Runs on,Hosted on (parent),Kubernetes Cluster Role Binding,Logical Datacenter
ci-windows-server,ci-network-adapter,Depends on,Owns (parent),Windows Server,Network Adapter
ci-ot-system-service,ci-business-service,Depends on,Depends on (parent),OT System Service,Business Service
ci-linux-server,ci-fibre-channel-disk,Contains,Contains (parent),Linux Server,Fibre Channel Disk
svc-cmdb-dependency-mapping,ci-business-application,Runs on,,,
svc-cmdb-dependency-mapping,ci-api,Runs on,,,
svc-cmdb-dependency-mapping,ci-api-backend,Runs on,,,
svc-cmdb-dependency-mapping,ci-azure-ai-agent,Runs on,,,
svc-cmdb-dependency-mapping,ci-cloudfoundry-application,Runs on,,,
svc-cmdb-dependency-mapping,ci-opc-server,Runs on,,,
svc-cmdb-dependency-mapping,ci-dynamic-ci-group,Runs on,,,
svc-cmdb-dependency-mapping,ci-dynamodb-global-table,Runs on,,,
svc-cmdb-dependency-mapping,ci-firewall-device,Runs on,,,
svc-cmdb-dependency-mapping,ci-ibm-hmc-server,Runs on,,,
svc-cmdb-dependency-mapping,ci-web-application,Runs on,,,
svc-cmdb-dependency-mapping,ci-intrusion-detection-system,Runs on,,,
svc-cmdb-dependency-mapping,ci-network-circuit,Runs on,,,
svc-cmdb-dependency-mapping,ci-nginx-web-server,Runs on,,,
svc-cmdb-dependency-mapping,ci-nutanix-cluster,Runs on,,,
svc-cmdb-dependency-mapping,ci-oracle-database-listener,Runs on,,,
svc-cmdb-dependency-mapping,ci-oracle-golden-gate,Runs on,,,
svc-cmdb-dependency-mapping,ci-oracle-weblogic,Runs on,,,
svc-cmdb-dependency-mapping,ci-sap-ascs-application,Runs on,,,
